TITLE,field_param_diameter,field_param_height,field_param_width,field_param_depth,field_param_cutout,field_param_lsp_tech,field_param_woofer_size,field_param_tweeter_size,field_param_mounting_system,field_param_transformer_tabs,field_param_low_z_applicable,field_param_100v_applicable,field_param_impedance,field_param_low_z_power,field_param_spl,field_param_maxspl,field_param_freq_response,field_param_material,field_param_grille_material,field_param_ip_klass,field_param_lsp_type,field_param_lsp_form,field_param_lsp_active,field_param_h_dispersion,field_param_v_dispersion,field_param_19_rack,field_param_height_u,field_param_power_vac,field_param_power_vdc,field_param_100v_output,field_param_low_z_output,field_param_consumption_power,field_param_output_power_100v,field_param_output_power_4,field_param_output_power_8,field_param_output_power_bridge,field_param_min_impedance,field_param_channel_qty,field_param_zone_qty,field_param_mic_bal_input,field_param_mic_unbal_input,field_param_mic_phantom_input,field_param_line_phantom_input,field_param_line_bal_input,field_param_line_unbal_input,field_param_tone_control,field_param_suhoi_contact,field_param_vox_mute,field_param_din_don_,field_param_prior_output,field_param_fan_or_not,field_param_rs232,field_param_remote_control,field_param_volume_control,field_param_matrix,field_param_ethernet_control,field_param_bal_output,field_param_unbal_output,field_param_digital_output,field_param_ir_control,field_param_tuner,field_param_internet_radio,field_param_usb,field_param_sd_card,field_param_cd
CMR20T,,170,237,73,146x213,Двухполосная,5.25,1,4 винта,20-10-5-2.5,Есть,Есть,16,60,85,100,60 - 20k,ABS пластик,Алюминий,54,,Прямоугольный,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR608,,170,237,60,146x213,Двухполосная,5.25,1,4 винта,,Есть,Нет,8,60,92,108,60 - 20k,ABS пластик,Алюминий,54,,Прямоугольный,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM5EH,178,,,45,163,Двойной диффузор,5.25,,2 защелки,6-3,Есть,Есть,8,15,89,96,100 - 18k,ABS пластик,Пластик,54,,Круглый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM6E,205,,,70,186,Двойной диффузор,6.5,,3 винта,6-3-1.5,Есть,Есть,8,15,91,99,70 - 20k,ABS пластик,Сталь,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM1008,244,,,90,223,Двухполосная,8,1,3 винта,,Есть,Нет,8,100,90,107,50 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM20T,205,,,80,186,Двухполосная,6.5,1,3 винта,20-10-5,Есть,Есть,16,60,86,104,60 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM3T,105,,,74,85,Двойной диффузор,3,,2 пружины,6-3-1.5,Есть,Есть,16,20,87,99,120 - 18k,Сталь,Алюминий,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM4,135,,,107,108,Двойной диффузор,4,,2 пружины,,Есть,Нет,16,30,88,103,100 - 20k,Сталь,Алюминий,60,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM4T,135,,,74,108,Двойной диффузор,4,,2 пружины,6-3-1.5,Есть,Есть,16,30,88,103,90 - 19k,Сталь,Алюминий,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM608,205,,,75,186,Двухполосная,6.5,1,3 винта,,Есть,Нет,8,60,92,104,60 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM6QFT,237,,,67,219,Двухполосная,6.5,,Quick-fit,6-3-1.5,Есть,Есть,16,40,89,106,60 - 20k,ABS пластик,Сталь,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM6T,205,,,75,186,Двухполосная,6.5,1,3 винта,6-3-1.5,Есть,Есть,16,60,87,105,60 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM6TSMF,205,,,120,182,Двойной диффузор,6.5,,3 винта,6-3-1.5,Нет,Есть,,,94,101,90 - 19k,Сталь,Сталь,60,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMX20T,244,,,87,223,Двухполосная,8,1,3 винта,20-10-5,Есть,Есть,16,100,88,108,50 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM1008D,250,,,90,223,Двухполосная,8,1,3 винта,,Есть,Нет,8,100,90,107,50 - 20k,ABS пластик,Сталь,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM20DT,210,,,80,186,Двухполосная,6.5,1,3 винта,20-10-5,Есть,Есть,16,60,86,104,60 - 20k,ABS пластик,Сталь,50,,Круглый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM608D,210,,,75,186,Двухполосная,6.5,1,3 винта,,Есть,Нет,8,60,92,104,60 - 20k,ABS пластик,Сталь,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
